iter	Passed	Remaining
0	129	389038
1	252	378992
2	376	376240
3	486	364393
4	592	354638
5	697	348248
6	805	344400
7	906	339092
8	1010	335842
9	1121	335344
10	1232	334773
11	1337	333138
12	1499	344645
13	1642	350245
14	1756	349450
15	1870	348779
16	1984	348225
17	2111	349799
18	2227	349546
19	2328	347013
20	2436	345579
21	2544	344374
22	2660	344322
23	2774	344025
24	2885	343358
25	2984	341432
26	3114	342889
27	3223	342190
28	3327	340886
29	3443	340921
30	3573	342274
31	3696	342854
32	3814	342933
33	3918	341790
34	4028	341255
35	4143	341159
36	4255	340771
37	4363	340133
38	4474	339723
39	4576	338649
40	4685	338167
41	4802	338204
42	4909	337580
43	5020	337288
44	5126	336652
45	5231	335984
46	5354	336450
47	5463	335985
48	5569	335423
49	5672	334677
50	5793	334982
51	5899	334443
52	6010	334190
53	6120	333928
54	6238	334028
55	6366	334716
56	6496	335434
57	6613	335489
58	6735	335733
59	6857	336038
60	6966	335668
61	7082	335628
62	7191	335266
63	7293	334582
64	7411	334657
65	7516	334134
66	7639	334448
67	7747	334053
68	7849	333427
69	7949	332743
70	8051	332142
71	8158	331788
72	8266	331472
73	8366	330823
74	8471	330383
75	8571	329789
76	8673	329260
77	8782	329009
78	8884	328495
79	8994	328281
80	9103	328066
81	9220	328105
82	9350	328611
83	9470	328765
84	9581	328582
85	9693	328450
86	9802	328224
87	9919	328249
88	10027	327982
89	10138	327809
90	10251	327696
91	10358	327433
92	10468	327230
93	10568	326719
94	10678	326546
95	10787	326323
96	10897	326143
97	11014	326171
98	11124	325981
99	11231	325715
100	11334	325324
101	11432	324817
102	11568	325377
103	11683	325350
104	11801	325375
105	11910	325188
106	12023	325076
107	12131	324855
108	12254	325021
109	12413	326128
110	12543	326458
111	12657	326387
112	12770	326264
113	12879	326045
114	12988	325841
115	13097	325624
116	13204	325372
117	13311	325105
118	13438	325346
119	13550	325212
120	13663	325097
121	13773	324923
122	13890	324897
123	13996	324619
124	14116	324679
125	14245	324926
126	14368	325043
127	14500	325349
128	14612	325208
129	14718	324943
130	14835	324918
131	14947	324778
132	15062	324698
133	15184	324775
134	15291	324509
135	15410	324534
136	15518	324309
137	15628	324129
138	15737	323911
139	15846	323717
140	15963	323680
141	16071	323470
142	16182	323301
143	16290	323103
144	16404	322997
145	16518	322904
